date,min,max,mean
2025-09-01,33.00,76.00,53.12
2025-09-02,70.00,93.00,84.88
2025-09-03,38.00,88.00,61.71
2025-09-04,42.00,80.00,64.17
2025-09-05,69.00,92.00,80.75
2025-09-06,45.00,92.00,69.71
2025-09-07,39.00,94.00,67.38
2025-09-08,44.00,86.00,66.71
2025-09-09,42.00,94.00,69.58
2025-09-10,54.00,84.00,70.92
2025-09-11,53.00,93.00,76.42
2025-09-12,39.00,85.00,67.50
2025-09-13,42.00,85.00,70.58
2025-09-14,44.00,88.00,71.46
2025-09-15,55.00,90.00,75.00
2025-09-16,46.00,79.00,60.42
2025-09-17,48.00,85.00,68.88
2025-09-18,68.00,89.00,77.75
2025-09-19,52.00,85.00,72.04
2025-09-20,37.00,88.00,64.00
2025-09-21,49.00,79.00,64.92
2025-09-22,47.00,85.00,66.83
2025-09-23,44.00,85.00,65.92
2025-09-24,41.00,82.00,61.71
2025-09-25,38.00,72.00,53.21
2025-09-26,41.00,67.00,53.58
2025-09-27,48.00,61.00,54.79
2025-09-28,33.00,73.00,55.54
2025-09-29,43.00,82.00,68.12
2025-09-30,48.00,88.00,70.25
2025-10-01,59.00,89.00,77.12
2025-10-02,41.00,100.00,73.62
2025-10-03,44.00,100.00,73.29
2025-10-04,65.00,94.00,76.08
2025-10-05,56.00,81.00,71.17
2025-10-06,55.00,84.00,72.29
2025-10-07,80.00,100.00,91.46
2025-10-08,77.00,98.00,89.21
2025-10-09,53.00,95.00,78.58
2025-10-10,73.00,87.00,80.25
2025-10-11,59.00,83.00,73.83
2025-10-12,72.00,91.00,80.67
2025-10-13,41.00,97.00,74.67
2025-10-14,78.00,94.00,87.88
2025-10-15,66.00,96.00,84.83
2025-10-16,71.00,92.00,85.96
2025-10-17,52.00,89.00,73.29
2025-10-18,44.00,86.00,67.92
2025-10-19,50.00,100.00,74.33
2025-10-20,52.00,86.00,70.08
2025-10-21,62.00,78.00,70.92
2025-10-22,74.00,96.00,85.21
2025-10-23,65.00,95.00,84.12
2025-10-24,52.00,75.00,63.92
2025-10-25,56.00,84.00,71.46
2025-10-26,60.00,84.00,75.79
2025-10-27,66.00,86.00,77.96
2025-10-28,73.00,89.00,80.62
2025-10-29,64.00,86.00,77.17
2025-10-30,65.00,90.00,75.75
2025-10-31,61.00,89.00,76.08
2025-11-01,64.00,93.00,79.29
2025-11-02,77.00,97.00,89.67
2025-11-03,59.00,94.00,77.46
2025-11-04,66.00,91.00,78.92
2025-11-05,53.00,91.00,75.67
2025-11-06,46.00,87.00,73.00
2025-11-07,60.00,94.00,78.33
2025-11-08,78.00,100.00,88.96
