latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,3600,Europe/Berlin,GMT+1

time,relative_humidity_2m (%)
2025-09-01T00:00,58
2025-09-01T01:00,59
2025-09-01T02:00,61
2025-09-01T03:00,64
2025-09-01T04:00,66
2025-09-01T05:00,68
2025-09-01T06:00,70
2025-09-01T07:00,65
2025-09-01T08:00,58
2025-09-01T09:00,51
2025-09-01T10:00,46
2025-09-01T11:00,42
2025-09-01T12:00,38
2025-09-01T13:00,37
2025-09-01T14:00,34
2025-09-01T15:00,33
2025-09-01T16:00,33
2025-09-01T17:00,33
2025-09-01T18:00,37
2025-09-01T19:00,43
2025-09-01T20:00,59
2025-09-01T21:00,70
2025-09-01T22:00,74
2025-09-01T23:00,76
2025-09-02T00:00,81
2025-09-02T01:00,87
2025-09-02T02:00,87
2025-09-02T03:00,89
2025-09-02T04:00,89
2025-09-02T05:00,91
2025-09-02T06:00,91
2025-09-02T07:00,90
2025-09-02T08:00,92
2025-09-02T09:00,93
2025-09-02T10:00,92
2025-09-02T11:00,92
2025-09-02T12:00,89
2025-09-02T13:00,85
2025-09-02T14:00,78
2025-09-02T15:00,72
2025-09-02T16:00,70
2025-09-02T17:00,70
2025-09-02T18:00,72
2025-09-02T19:00,80
2025-09-02T20:00,84
2025-09-02T21:00,88
2025-09-02T22:00,87
2025-09-02T23:00,88
2025-09-03T00:00,88
2025-09-03T01:00,87
2025-09-03T02:00,85
2025-09-03T03:00,84
2025-09-03T04:00,83
2025-09-03T05:00,82
2025-09-03T06:00,80
2025-09-03T07:00,73
2025-09-03T08:00,65
2025-09-03T09:00,55
2025-09-03T10:00,47
2025-09-03T11:00,40
2025-09-03T12:00,38
2025-09-03T13:00,40
2025-09-03T14:00,41
2025-09-03T15:00,42
2025-09-03T16:00,48
2025-09-03T17:00,47
2025-09-03T18:00,50
2025-09-03T19:00,54
2025-09-03T20:00,56
2025-09-03T21:00,58
2025-09-03T22:00,68
2025-09-03T23:00,70
2025-09-04T00:00,72
2025-09-04T01:00,77
2025-09-04T02:00,79
2025-09-04T03:00,80
2025-09-04T04:00,80
2025-09-04T05:00,80
2025-09-04T06:00,80
2025-09-04T07:00,78
2025-09-04T08:00,72
2025-09-04T09:00,65
2025-09-04T10:00,60
2025-09-04T11:00,55
2025-09-04T12:00,54
2025-09-04T13:00,45
2025-09-04T14:00,43
2025-09-04T15:00,42
2025-09-04T16:00,42
2025-09-04T17:00,44
2025-09-04T18:00,50
2025-09-04T19:00,57
2025-09-04T20:00,63
2025-09-04T21:00,71
2025-09-04T22:00,75
2025-09-04T23:00,76
2025-09-05T00:00,75
2025-09-05T01:00,77
2025-09-05T02:00,88
2025-09-05T03:00,83
2025-09-05T04:00,81
2025-09-05T05:00,87
2025-09-05T06:00,89
2025-09-05T07:00,90
2025-09-05T08:00,92
2025-09-05T09:00,92
2025-09-05T10:00,89
2025-09-05T11:00,85
2025-09-05T12:00,84
2025-09-05T13:00,78
2025-09-05T14:00,75
2025-09-05T15:00,79
2025-09-05T16:00,76
2025-09-05T17:00,72
2025-09-05T18:00,73
2025-09-05T19:00,69
2025-09-05T20:00,74
2025-09-05T21:00,75
2025-09-05T22:00,76
2025-09-05T23:00,79
2025-09-06T00:00,82
2025-09-06T01:00,88
2025-09-06T02:00,89
2025-09-06T03:00,91
2025-09-06T04:00,92
2025-09-06T05:00,92
2025-09-06T06:00,92
2025-09-06T07:00,90
2025-09-06T08:00,84
2025-09-06T09:00,77
2025-09-06T10:00,63
2025-09-06T11:00,55
2025-09-06T12:00,50
2025-09-06T13:00,49
2025-09-06T14:00,47
2025-09-06T15:00,45
2025-09-06T16:00,45
2025-09-06T17:00,47
2025-09-06T18:00,49
2025-09-06T19:00,57
2025-09-06T20:00,62
2025-09-06T21:00,67
2025-09-06T22:00,78
2025-09-06T23:00,82
2025-09-07T00:00,86
2025-09-07T01:00,88
2025-09-07T02:00,89
2025-09-07T03:00,86
2025-09-07T04:00,93
2025-09-07T05:00,93
2025-09-07T06:00,94
2025-09-07T07:00,93
2025-09-07T08:00,84
2025-09-07T09:00,73
2025-09-07T10:00,63
2025-09-07T11:00,55
2025-09-07T12:00,49
2025-09-07T13:00,45
2025-09-07T14:00,45
2025-09-07T15:00,41
2025-09-07T16:00,39
2025-09-07T17:00,40
2025-09-07T18:00,43
2025-09-07T19:00,47
2025-09-07T20:00,55
2025-09-07T21:00,65
2025-09-07T22:00,74
2025-09-07T23:00,77
2025-09-08T00:00,78
2025-09-08T01:00,81
2025-09-08T02:00,82
2025-09-08T03:00,82
2025-09-08T04:00,85
2025-09-08T05:00,85
2025-09-08T06:00,86
2025-09-08T07:00,85
2025-09-08T08:00,78
2025-09-08T09:00,72
2025-09-08T10:00,66
2025-09-08T11:00,55
2025-09-08T12:00,52
2025-09-08T13:00,49
2025-09-08T14:00,44
2025-09-08T15:00,47
2025-09-08T16:00,45
2025-09-08T17:00,45
2025-09-08T18:00,48
2025-09-08T19:00,53
2025-09-08T20:00,60
2025-09-08T21:00,68
2025-09-08T22:00,75
2025-09-08T23:00,80
2025-09-09T00:00,85
2025-09-09T01:00,88
2025-09-09T02:00,91
2025-09-09T03:00,91
2025-09-09T04:00,90
2025-09-09T05:00,92
2025-09-09T06:00,94
2025-09-09T07:00,90
2025-09-09T08:00,86
2025-09-09T09:00,78
2025-09-09T10:00,73
2025-09-09T11:00,64
2025-09-09T12:00,58
2025-09-09T13:00,50
2025-09-09T14:00,46
2025-09-09T15:00,42
2025-09-09T16:00,44
2025-09-09T17:00,43
2025-09-09T18:00,45
2025-09-09T19:00,53
2025-09-09T20:00,60
2025-09-09T21:00,63
2025-09-09T22:00,71
2025-09-09T23:00,73
2025-09-10T00:00,77
2025-09-10T01:00,80
2025-09-10T02:00,81
2025-09-10T03:00,84
2025-09-10T04:00,83
2025-09-10T05:00,82
2025-09-10T06:00,83
2025-09-10T07:00,78
2025-09-10T08:00,77
2025-09-10T09:00,74
2025-09-10T10:00,71
2025-09-10T11:00,66
2025-09-10T12:00,63
2025-09-10T13:00,60
2025-09-10T14:00,57
2025-09-10T15:00,54
2025-09-10T16:00,57
2025-09-10T17:00,59
2025-09-10T18:00,58
2025-09-10T19:00,61
2025-09-10T20:00,65
2025-09-10T21:00,76
2025-09-10T22:00,75
2025-09-10T23:00,81
2025-09-11T00:00,84
2025-09-11T01:00,83
2025-09-11T02:00,87
2025-09-11T03:00,92
2025-09-11T04:00,93
2025-09-11T05:00,91
2025-09-11T06:00,89
2025-09-11T07:00,86
2025-09-11T08:00,82
2025-09-11T09:00,76
2025-09-11T10:00,74
2025-09-11T11:00,68
2025-09-11T12:00,62
2025-09-11T13:00,53
2025-09-11T14:00,55
2025-09-11T15:00,59
2025-09-11T16:00,61
2025-09-11T17:00,61
2025-09-11T18:00,80
2025-09-11T19:00,84
2025-09-11T20:00,75
2025-09-11T21:00,81
2025-09-11T22:00,81
2025-09-11T23:00,77
2025-09-12T00:00,75
2025-09-12T01:00,78
2025-09-12T02:00,77
2025-09-12T03:00,79
2025-09-12T04:00,82
2025-09-12T05:00,83
2025-09-12T06:00,85
2025-09-12T07:00,85
2025-09-12T08:00,82
2025-09-12T09:00,80
2025-09-12T10:00,78
2025-09-12T11:00,67
2025-09-12T12:00,61
2025-09-12T13:00,65
2025-09-12T14:00,59
2025-09-12T15:00,49
2025-09-12T16:00,39
2025-09-12T17:00,39
2025-09-12T18:00,43
2025-09-12T19:00,50
2025-09-12T20:00,59
2025-09-12T21:00,61
2025-09-12T22:00,70
2025-09-12T23:00,74
2025-09-13T00:00,74
2025-09-13T01:00,79
2025-09-13T02:00,80
2025-09-13T03:00,80
2025-09-13T04:00,83
2025-09-13T05:00,82
2025-09-13T06:00,85
2025-09-13T07:00,85
2025-09-13T08:00,81
2025-09-13T09:00,75
2025-09-13T10:00,69
2025-09-13T11:00,64
2025-09-13T12:00,54
2025-09-13T13:00,46
2025-09-13T14:00,42
2025-09-13T15:00,46
2025-09-13T16:00,57
2025-09-13T17:00,60
2025-09-13T18:00,68
2025-09-13T19:00,77
2025-09-13T20:00,72
2025-09-13T21:00,74
2025-09-13T22:00,79
2025-09-13T23:00,82
2025-09-14T00:00,84
2025-09-14T01:00,86
2025-09-14T02:00,83
2025-09-14T03:00,83
2025-09-14T04:00,85
2025-09-14T05:00,86
2025-09-14T06:00,88
2025-09-14T07:00,88
2025-09-14T08:00,84
2025-09-14T09:00,81
2025-09-14T10:00,79
2025-09-14T11:00,76
2025-09-14T12:00,67
2025-09-14T13:00,56
2025-09-14T14:00,54
2025-09-14T15:00,51
2025-09-14T16:00,44
2025-09-14T17:00,49
2025-09-14T18:00,53
2025-09-14T19:00,57
2025-09-14T20:00,64
2025-09-14T21:00,68
2025-09-14T22:00,76
2025-09-14T23:00,73
2025-09-15T00:00,74
2025-09-15T01:00,75
2025-09-15T02:00,74
2025-09-15T03:00,78
2025-09-15T04:00,81
2025-09-15T05:00,82
2025-09-15T06:00,82
2025-09-15T07:00,88
2025-09-15T08:00,90
2025-09-15T09:00,90
2025-09-15T10:00,84
2025-09-15T11:00,81
2025-09-15T12:00,81
2025-09-15T13:00,72
2025-09-15T14:00,66
2025-09-15T15:00,58
2025-09-15T16:00,55
2025-09-15T17:00,58
2025-09-15T18:00,68
2025-09-15T19:00,71
2025-09-15T20:00,75
2025-09-15T21:00,74
2025-09-15T22:00,76
2025-09-15T23:00,67
2025-09-16T00:00,60
2025-09-16T01:00,66
2025-09-16T02:00,63
2025-09-16T03:00,59
2025-09-16T04:00,63
2025-09-16T05:00,65
2025-09-16T06:00,65
2025-09-16T07:00,67
2025-09-16T08:00,63
2025-09-16T09:00,58
2025-09-16T10:00,55
2025-09-16T11:00,55
2025-09-16T12:00,58
2025-09-16T13:00,55
2025-09-16T14:00,55
2025-09-16T15:00,53
2025-09-16T16:00,46
2025-09-16T17:00,47
2025-09-16T18:00,50
2025-09-16T19:00,67
2025-09-16T20:00,62
2025-09-16T21:00,64
2025-09-16T22:00,75
2025-09-16T23:00,79
2025-09-17T00:00,81
2025-09-17T01:00,83
2025-09-17T02:00,81
2025-09-17T03:00,83
2025-09-17T04:00,82
2025-09-17T05:00,85
2025-09-17T06:00,85
2025-09-17T07:00,82
2025-09-17T08:00,79
2025-09-17T09:00,76
2025-09-17T10:00,68
2025-09-17T11:00,63
2025-09-17T12:00,57
2025-09-17T13:00,53
2025-09-17T14:00,48
2025-09-17T15:00,52
2025-09-17T16:00,54
2025-09-17T17:00,50
2025-09-17T18:00,57
2025-09-17T19:00,62
2025-09-17T20:00,68
2025-09-17T21:00,68
2025-09-17T22:00,69
2025-09-17T23:00,67
2025-09-18T00:00,68
2025-09-18T01:00,71
2025-09-18T02:00,72
2025-09-18T03:00,74
2025-09-18T04:00,75
2025-09-18T05:00,77
2025-09-18T06:00,80
2025-09-18T07:00,89
2025-09-18T08:00,88
