latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,3600,Europe/Berlin,GMT+1

time,temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
2025-09-01,28.0,17.2,43820.58,0.00,17.9,32.8
2025-09-02,20.7,16.6,18588.84,12.30,11.2,27.4
2025-09-03,25.0,14.6,39897.01,0.00,21.1,40.0
2025-09-04,27.3,17.0,33745.08,0.00,11.9,32.0
2025-09-05,20.7,16.3,9906.98,7.40,11.2,29.2
2025-09-06,21.7,13.0,39600.00,0.00,9.4,24.8
2025-09-07,22.6,12.3,43159.45,0.00,11.3,26.6
2025-09-08,23.2,13.2,41186.38,0.00,11.9,29.5
2025-09-09,25.8,14.0,42965.25,0.00,11.3,29.9
2025-09-10,22.8,17.0,25424.26,6.60,10.4,26.6
2025-09-11,22.5,14.1,30433.70,6.70,17.8,48.2
2025-09-12,21.0,12.6,29804.82,0.20,14.1,36.4
2025-09-13,21.8,10.6,23782.95,1.50,14.6,34.9
2025-09-14,19.5,13.5,24634.69,0.40,13.8,34.6
2025-09-15,21.6,12.0,16212.27,6.90,14.5,41.0
2025-09-16,18.4,13.7,8741.57,0.00,24.7,59.8
2025-09-17,18.6,12.7,29070.21,0.00,20.6,44.3
2025-09-18,20.0,14.6,0.00,0.10,14.6,33.5
2025-09-19,24.1,17.6,25542.24,0.00,16.1,34.9
2025-09-20,29.2,15.0,38742.60,0.00,10.8,27.4
2025-09-21,26.3,14.7,27866.17,0.20,18.4,42.8
2025-09-22,15.2,12.0,2221.97,1.30,12.9,31.3
2025-09-23,16.8,7.2,35747.03,0.00,12.1,27.0
2025-09-24,16.6,7.2,38414.50,0.00,19.8,45.0
2025-09-25,15.5,8.5,32116.21,0.00,21.0,47.2
2025-09-26,16.4,10.5,1844.17,0.00,17.3,40.0
2025-09-27,18.8,11.3,29594.10,0.00,14.0,31.7
2025-09-28,18.6,8.7,36288.58,0.00,12.1,28.1
2025-09-29,16.7,8.2,28279.11,0.90,10.5,29.9
2025-09-30,13.3,6.3,24159.42,0.00,11.6,30.6
2025-10-01,12.1,6.5,18602.27,0.00,8.8,20.9
2025-10-02,15.2,3.5,30491.89,0.00,6.0,16.6
2025-10-03,15.1,3.5,32006.32,0.00,12.0,26.6
2025-10-04,12.9,6.7,0.00,6.60,20.9,48.2
2025-10-05,13.9,9.6,15344.19,0.60,22.8,49.7
2025-10-06,15.8,10.3,19914.65,0.50,24.1,55.4
2025-10-07,14.9,8.6,0.00,1.10,8.7,20.2
2025-10-08,15.8,13.4,0.00,0.60,10.2,22.7
2025-10-09,14.5,12.2,21210.81,0.10,15.9,32.8
2025-10-10,15.1,12.4,0.00,0.00,17.8,41.0
2025-10-11,16.3,13.4,11606.69,0.00,17.5,39.6
2025-10-12,14.3,12.3,0.00,0.00,15.1,34.9
2025-10-13,14.9,9.6,24287.61,0.00,9.1,20.9
2025-10-14,13.1,8.2,0.00,1.40,10.7,24.5
2025-10-15,14.0,9.2,15703.68,0.00,9.4,21.6
2025-10-16,13.7,10.7,1384.39,0.10,13.0,29.2
2025-10-17,13.1,9.6,22907.62,0.00,19.2,41.0
2025-10-18,10.7,4.4,32978.15,0.00,15.3,33.1
2025-10-19,11.1,1.3,32916.32,0.00,13.7,32.0
2025-10-20,13.8,3.4,26626.66,0.00,14.6,34.2
2025-10-21,16.8,9.4,15172.76,1.90,15.1,40.0
2025-10-22,15.3,9.8,7085.69,0.10,8.5,24.1
2025-10-23,15.5,10.7,1203.22,4.20,19.3,43.6
2025-10-24,12.4,8.5,2809.30,0.40,22.2,50.4
2025-10-25,12.6,7.4,18000.00,1.20,18.1,43.2
2025-10-26,9.9,4.7,12179.32,6.70,26.4,59.8
2025-10-27,9.9,6.4,0.00,3.80,24.8,54.0
2025-10-28,11.2,7.7,4145.45,5.40,21.7,46.8
2025-10-29,14.1,7.5,27642.33,0.00,16.2,37.4
2025-10-30,12.3,9.0,10800.00,8.60,25.4,68.8
2025-10-31,12.4,4.5,20854.17,0.00,12.0,28.4
2025-11-01,15.7,6.3,21815.12,7.30,10.9,26.6
2025-11-02,13.3,9.8,0.00,0.00,9.4,22.0
2025-11-03,12.3,9.1,23017.32,0.00,15.8,36.7
2025-11-04,15.1,8.7,13997.18,0.00,11.2,24.5
2025-11-05,15.8,6.6,28280.23,0.00,10.4,23.8
2025-11-06,15.0,6.1,28164.24,0.00,12.4,29.2
2025-11-07,12.9,5.6,28049.31,0.00,9.8,25.2
2025-11-08,8.1,2.7,24953.02,0.00,6.5,16.2
