date,wind_direction_mean_10m (°)
2025-09-03,170
2025-09-04,177
2025-09-05,273
2025-09-06,340
2025-09-07,84
2025-09-08,87
2025-09-09,81
2025-09-10,179
2025-09-11,224
2025-09-12,212
2025-09-13,151
2025-09-14,228
2025-09-15,202
2025-09-16,242
2025-09-17,258
2025-09-18,241
2025-09-19,223
2025-09-20,190
2025-09-21,245
2025-09-22,332
2025-09-23,347
2025-09-24,61
2025-09-25,76
2025-09-26,85
2025-09-27,89
2025-09-28,80
2025-09-29,87
2025-09-30,89
2025-10-01,56
2025-10-02,29
2025-10-03,114
2025-10-04,180
2025-10-05,244
2025-10-06,289
2025-10-07,247
2025-10-08,265
2025-10-09,287
2025-10-10,281
2025-10-11,292
2025-10-12,297
2025-10-13,325
2025-10-14,300
2025-10-15,283
2025-10-16,264
2025-10-17,290
2025-10-18,350
2025-10-19,125
2025-10-20,136
2025-10-21,175
2025-10-22,175
2025-10-23,158
2025-10-24,236
2025-10-25,216
2025-10-26,236
2025-10-27,245
2025-10-28,245
2025-10-29,204
2025-10-30,235
2025-10-31,170
2025-11-01,168
2025-11-02,213
2025-11-03,243
2025-11-04,192
2025-11-05,166
2025-11-06,128
2025-11-07,150
2025-11-08,174
